Category,Subcategory 1,Subcategory 2,Subcategory 3,Value,Year
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,6963.0,1962
Total National Health Expenditures,Health Insurance,Medicare,none,176031.5,1962
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,139638.0,1962
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1962
Total National Health Expenditures,Health Insurance,Department of Defense,none,860.0,1962
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,961.0,1962
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,71.0,1962
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,600.0,1962
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1754.0,1962
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,705.0,1962
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,102.0,1962
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,180.0,1962
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,25.0,1962
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,598.0,1962
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2395.0,1962
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,2510.0,1962
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,147.0,1962
Total National Health Expenditures,Investment,Research,none,1068.0,1962
Total National Health Expenditures,Investment,Structures & Equipment,none,2434.0,1962
Total National Health Expenditures,Out of pocket,none,none,15171.0,1963
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,7720.0,1963
Total National Health Expenditures,Health Insurance,Medicare,none,176031.5,1963
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,139638.0,1963
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1963
Total National Health Expenditures,Health Insurance,Department of Defense,none,925.0,1963
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,1015.0,1963
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,78.0,1963
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,676.0,1963
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1754.0,1963
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,742.0,1963
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,103.0,1963
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,201.0,1963
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,29.0,1963
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,715.0,1963
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2395.0,1963
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,2773.0,1963
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,143.0,1963
Total National Health Expenditures,Investment,Research,none,1219.0,1963
Total National Health Expenditures,Investment,Structures & Equipment,none,2538.0,1963
Total National Health Expenditures,Out of pocket,none,none,16669.0,1964
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,8791.0,1964
Total National Health Expenditures,Health Insurance,Medicare,none,176031.5,1964
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,139638.0,1964
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1964
Total National Health Expenditures,Health Insurance,Department of Defense,none,861.0,1964
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,1058.0,1964
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,87.0,1964
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,774.0,1964
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1754.0,1964
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,807.0,1964
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,112.0,1964
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,220.0,1964
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,33.0,1964
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,750.0,1964
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2395.0,1964
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,3013.0,1964
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,151.0,1964
Total National Health Expenditures,Investment,Research,none,1366.0,1964
Total National Health Expenditures,Investment,Structures & Equipment,none,2981.0,1964
Total National Health Expenditures,Out of pocket,none,none,17863.0,1965
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,9772.0,1965
Total National Health Expenditures,Health Insurance,Medicare,none,176031.5,1965
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,139638.0,1965
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1965
Total National Health Expenditures,Health Insurance,Department of Defense,none,831.0,1965
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,1119.0,1965
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,97.0,1965
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,896.0,1965
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1754.0,1965
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,870.0,1965
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,122.0,1965
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,244.0,1965
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,41.0,1965
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,831.0,1965
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2395.0,1965
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,3392.0,1965
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,168.0,1965
Total National Health Expenditures,Investment,Research,none,1521.0,1965
Total National Health Expenditures,Investment,Structures & Equipment,none,3240.0,1965
Total National Health Expenditures,Out of pocket,none,none,18132.0,1966
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,9980.0,1966
Total National Health Expenditures,Health Insurance,Medicare,none,1842.0,1966
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,1304.0,1966
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1966
Total National Health Expenditures,Health Insurance,Department of Defense,none,1078.0,1966
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,1153.0,1966
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,110.0,1966
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,1000.0,1966
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1754.0,1966
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,991.0,1966
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,182.0,1966
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,291.0,1966
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,58.0,1966
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,653.0,1966
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2395.0,1966
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,3093.0,1966
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,187.0,1966
Total National Health Expenditures,Investment,Research,none,1624.0,1966
Total National Health Expenditures,Investment,Structures & Equipment,none,3342.0,1966
Total National Health Expenditures,Out of pocket,none,none,17985.0,1967
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,10132.0,1967
Total National Health Expenditures,Health Insurance,Medicare,none,4924.0,1967
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,3141.0,1967
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1967
Total National Health Expenditures,Health Insurance,Department of Defense,none,1324.0,1967
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,1268.0,1967
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,128.0,1967
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,1113.0,1967
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1754.0,1967
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,1100.0,1967
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,240.0,1967
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,324.0,1967
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,88.0,1967
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,463.0,1967
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2395.0,1967
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,2661.0,1967
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,215.0,1967
Total National Health Expenditures,Investment,Research,none,1775.0,1967
Total National Health Expenditures,Investment,Structures & Equipment,none,3443.0,1967
Total National Health Expenditures,Out of pocket,none,none,19951.0,1968
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,11462.0,1968
Total National Health Expenditures,Health Insurance,Medicare,none,6218.0,1968
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,3541.0,1968
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1968
Total National Health Expenditures,Health Insurance,Department of Defense,none,1445.0,1968
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,1344.0,1968
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,147.0,1968
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,1370.0,1968
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1754.0,1968
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,1244.0,1968
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,299.0,1968
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,377.0,1968
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,115.0,1968
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,489.0,1968
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2395.0,1968
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,2944.0,1968
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,242.0,1968
Total National Health Expenditures,Investment,Research,none,1877.0,1968
Total National Health Expenditures,Investment,Structures & Equipment,none,3980.0,1968
Total National Health Expenditures,Out of pocket,none,none,21911.0,1969
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,12988.0,1969
Total National Health Expenditures,Health Insurance,Medicare,none,7045.0,1969
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,4174.0,1969
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1969
Total National Health Expenditures,Health Insurance,Department of Defense,none,1499.0,1969
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,1484.0,1969
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,171.0,1969
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,1582.0,1969
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1754.0,1969
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,1372.0,1969
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,359.0,1969
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,435.0,1969
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,131.0,1969
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,621.0,1969
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2395.0,1969
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,3226.0,1969
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,263.0,1969
Total National Health Expenditures,Investment,Research,none,1924.0,1969
Total National Health Expenditures,Investment,Structures & Equipment,none,5058.0,1969
Total National Health Expenditures,Out of pocket,none,none,24208.0,1970
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,15078.0,1970
Total National Health Expenditures,Health Insurance,Medicare,none,7672.0,1970
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,5290.0,1970
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1970
Total National Health Expenditures,Health Insurance,Department of Defense,none,1582.0,1970
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,1719.0,1970
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,196.0,1970
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,1912.0,1970
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1754.0,1970
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,1532.0,1970
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,417.0,1970
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,409.0,1970
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,155.0,1970
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,927.0,1970
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2395.0,1970
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,3589.0,1970
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,290.0,1970
Total National Health Expenditures,Investment,Research,none,1953.0,1970
Total National Health Expenditures,Investment,Structures & Equipment,none,5791.0,1970
Total National Health Expenditures,Out of pocket,none,none,25515.0,1971
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,17318.0,1971
Total National Health Expenditures,Health Insurance,Medicare,none,8443.0,1971
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,6695.0,1971
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1971
Total National Health Expenditures,Health Insurance,Department of Defense,none,1766.0,1971
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,1983.0,1971
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,217.0,1971
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,2183.0,1971
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1754.0,1971
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,1570.0,1971
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,477.0,1971
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,453.0,1971
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,180.0,1971
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,1102.0,1971
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2395.0,1971
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,3682.0,1971
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,308.0,1971
Total National Health Expenditures,Investment,Research,none,2109.0,1971
Total National Health Expenditures,Investment,Structures & Equipment,none,6704.0,1971
Total National Health Expenditures,Out of pocket,none,none,27805.0,1972
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,20027.0,1972
Total National Health Expenditures,Health Insurance,Medicare,none,9325.0,1972
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,8314.0,1972
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1972
Total National Health Expenditures,Health Insurance,Department of Defense,none,1997.0,1972
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,2291.0,1972
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,246.0,1972
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,2579.0,1972
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1754.0,1972
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,1715.0,1972
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,582.0,1972
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,482.0,1972
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,184.0,1972
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,963.0,1972
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2395.0,1972
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,3839.0,1972
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,321.0,1972
Total National Health Expenditures,Investment,Research,none,2357.0,1972
Total National Health Expenditures,Investment,Structures & Equipment,none,7503.0,1972
Total National Health Expenditures,Out of pocket,none,none,30737.0,1973
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,22263.0,1973
Total National Health Expenditures,Health Insurance,Medicare,none,10730.0,1973
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,9423.0,1973
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1973
Total National Health Expenditures,Health Insurance,Department of Defense,none,2235.0,1973
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,2646.0,1973
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,281.0,1973
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,2768.0,1973
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1754.0,1973
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,2051.0,1973
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,691.0,1973
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,467.0,1973
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,190.0,1973
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,980.0,1973
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2395.0,1973
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,4296.0,1973
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,346.0,1973
Total National Health Expenditures,Investment,Research,none,2502.0,1973
Total National Health Expenditures,Investment,Structures & Equipment,none,7925.0,1973
Total National Health Expenditures,Out of pocket,none,none,33311.0,1974
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,25353.0,1974
Total National Health Expenditures,Health Insurance,Medicare,none,13428.0,1974
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,11073.0,1974
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1974
Total National Health Expenditures,Health Insurance,Department of Defense,none,2475.0,1974
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,2900.0,1974
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,327.0,1974
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,3110.0,1974
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,1754.0,1974
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,2382.0,1974
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,827.0,1974
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,525.0,1974
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,202.0,1974
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,1086.0,1974
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,2395.0,1974
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,4922.0,1974
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,377.0,1974
Total National Health Expenditures,Investment,Research,none,2767.0,1974
Total National Health Expenditures,Investment,Structures & Equipment,none,8695.0,1974
Total National Health Expenditures,Out of pocket,none,none,36036.0,1975
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,29728.0,1975
Total National Health Expenditures,Health Insurance,Medicare,none,16336.0,1975
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,13446.0,1975
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1975
Total National Health Expenditures,Health Insurance,Department of Defense,none,2590.0,1975
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,3381.0,1975
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,373.0,1975
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,3467.0,1975
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,197.0,1975
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,2669.0,1975
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,1000.0,1975
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,565.0,1975
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,210.0,1975
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,695.0,1975
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,569.0,1975
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,5321.0,1975
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,400.0,1975
Total National Health Expenditures,Investment,Research,none,3372.0,1975
Total National Health Expenditures,Investment,Structures & Equipment,none,9345.0,1975
Total National Health Expenditures,Out of pocket,none,none,39281.0,1976
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,36312.0,1976
Total National Health Expenditures,Health Insurance,Medicare,none,19694.0,1976
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,15188.0,1976
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1976
Total National Health Expenditures,Health Insurance,Department of Defense,none,2695.0,1976
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,4066.0,1976
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,448.0,1976
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,4831.0,1976
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,255.0,1976
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,3031.0,1976
Total National Health Expenditures,Other Third Party Payers and Programs,General Assistance,none,1131.0,1976
Total National Health Expenditures,Other Third Party Payers and Programs,Maternal/Child Health,none,619.0,1976
Total National Health Expenditures,Other Third Party Payers and Programs,Vocational Rehabilitation,none,210.0,1976
Total National Health Expenditures,Other Third Party Payers and Programs,Other Federal Programs,none,823.0,1976
Total National Health Expenditures,Other Third Party Payers and Programs,SAMHSA,none,537.0,1976
Total National Health Expenditures,Other Third Party Payers and Programs,Other State and Local Programs,none,5227.0,1976
Total National Health Expenditures,Other Third Party Payers and Programs,School Health,none,433.0,1976
Total National Health Expenditures,Investment,Research,none,3707.0,1976
Total National Health Expenditures,Investment,Structures & Equipment,none,10325.0,1976
Total National Health Expenditures,Out of pocket,none,none,43137.0,1977
Total National Health Expenditures,Health Insurance,Private Health Insurance,none,44173.0,1977
Total National Health Expenditures,Health Insurance,Medicare,none,22891.0,1977
Total National Health Expenditures,Health Insurance,Medicaid (Title XIX),none,17464.0,1977
Total National Health Expenditures,Health Insurance,CHIP (Title XIX and Title XXI),none,11764.0,1977
Total National Health Expenditures,Health Insurance,Department of Defense,none,2922.0,1977
Total National Health Expenditures,Health Insurance,Department of Veterans Affairs,none,4146.0,1977
Total National Health Expenditures,Other Third Party Payers and Programs,Worksite Health Care,none,530.0,1977
Total National Health Expenditures,Other Third Party Payers and Programs,Other Private Revenues,none,5613.0,1977
Total National Health Expenditures,Other Third Party Payers and Programs,Indian Health Services,none,307.0,1977
Total National Health Expenditures,Other Third Party Payers and Programs,Workers' Compensation,none,3506.0,1977
